"Informazioni cronologiche","Mothertongue ","Second Language","You showed up an hour late for a dinner with your friends. ","You borrowed your father’s keys but you lost them. Your father needs them back.","You had just left the restaurant and you are checking the receipt, you noticed that you had paid less than you should have","You were supposed to go to a friend’s graduation party but forgot to do so because you had a job interview.","You accidentally run into the women’s toilet/men’s toilet while in a Pub.","You are eating an ice cream in a crowed place and it falls on a stranger's shoe","You had been invited to a dinner party and you forgot to take with you the bottle of wine that you have promised to bring ","You suggested an answer to a friend during an exam and you found out later that it was wrong"
"2019/12/03 6:55:23 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","1 (not severe)","2","4","2","3 (somewhat severe)"
"2019/12/03 6:56:25 PM CET","English","English","3 (somewhat severe)","4","3 (somewhat severe)","2","2","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 6:57:50 PM CET","Other","English","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 6:58:18 PM CET","Italian","English","4","4","3 (somewhat severe)","4","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 6:58:20 PM CET","English","Other","2","2","1 (not severe)","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 6:58:33 PM CET","English","Other","2","2","1 (not severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 6:59:13 PM CET","English","Italian","4","5 (severe)","2","1 (not severe)","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 7:00:21 PM CET","English","","3 (somewhat severe)","4","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 7:00:26 PM CET","English","Other","2","4","4","3 (somewhat severe)","2","5 (severe)","3 (somewhat severe)","5 (severe)"
"2019/12/03 7:00:36 PM CET","English","English","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","4"
"2019/12/03 7:02:15 PM CET","Other","English","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","4","2","2"
"2019/12/03 7:02:56 PM CET","English","Other","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 7:03:33 PM CET","English","Other","4","3 (somewhat severe)","4","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 7:05:19 PM CET","English","","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 7:05:22 PM CET","English","Italian","4","3 (somewhat severe)","3 (somewhat severe)","5 (severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 7:06:14 PM CET","English","Other","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 7:06:27 PM CET","English","English","4","4","3 (somewhat severe)","2","2","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 7:06:53 PM CET","English","Other","3 (somewhat severe)","4","2","2","1 (not severe)","3 (somewhat severe)","2","4"
"2019/12/03 7:07:00 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","1 (not severe)","2","5 (severe)","2","2"
"2019/12/03 7:07:17 PM CET","English","English","3 (somewhat severe)","5 (severe)","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 7:07:56 PM CET","English","Italian","4","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 7:08:17 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 7:08:19 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","2","5 (severe)","5 (severe)","4","2"
"2019/12/03 7:08:35 PM CET","English","Other","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 7:09:56 PM CET","English","English","4","4","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 7:12:11 PM CET","English","English","3 (somewhat severe)","5 (severe)","2","4","2","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 7:13:18 PM CET","English","English","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","4","3 (somewhat severe)","4"
"2019/12/03 7:13:18 PM CET","English","Other","5 (severe)","5 (severe)","5 (severe)","3 (somewhat severe)","2","5 (severe)","4","1 (not severe)"
"2019/12/03 7:13:28 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","2","2","2","2","2"
"2019/12/03 7:13:35 PM CET","English","English","1 (not severe)","4","2","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 7:14:00 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","4","2","4","2","2"
"2019/12/03 7:14:18 PM CET","English","Other","5 (severe)","4","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","2","4"
"2019/12/03 7:14:39 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","2","2","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 7:14:44 PM CET","English","","3 (somewhat severe)","4","3 (somewhat severe)","2","2","4","2","3 (somewhat severe)"
"2019/12/03 7:14:52 PM CET","English","Other","4","4","3 (somewhat severe)","2","1 (not severe)","2","2","2"
"2019/12/03 7:15:31 PM CET","English","Other","4","5 (severe)","2","2","2","1 (not severe)","1 (not severe)","2"
"2019/12/03 7:15:54 PM CET","Italian","English","5 (severe)","5 (severe)","5 (severe)","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 7:18:07 PM CET","English","Other","5 (severe)","3 (somewhat severe)","1 (not severe)","4","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 7:18:54 PM CET","English","English","5 (severe)","4","2","4","1 (not severe)","2","1 (not severe)","3 (somewhat severe)"
"2019/12/03 7:19:46 PM CET","English","English","4","4","4","2","3 (somewhat severe)","2","1 (not severe)","2"
"2019/12/03 7:19:59 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","2","2","2","2","1 (not severe)"
"2019/12/03 7:20:05 PM CET","Italian","Other","5 (severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)","4","3 (somewhat severe)"
"2019/12/03 7:20:11 PM CET","English","","2","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 7:21:01 PM CET","English","Other","5 (severe)","5 (severe)","3 (somewhat severe)","4","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 7:22:11 PM CET","Italian","English","2","2","3 (somewhat severe)","1 (not severe)","4","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 7:22:22 PM CET","English","English","3 (somewhat severe)","4","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 7:25:10 PM CET","Other","English","5 (severe)","4","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 7:25:52 PM CET","English","Other","3 (somewhat severe)","4","2","2","2","4","1 (not severe)","2"
"2019/12/03 7:25:56 PM CET","English","English","2","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 7:27:10 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","2","5 (severe)","2","4","5 (severe)"
"2019/12/03 7:30:31 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","2","2"
"2019/12/03 7:31:04 PM CET","English","","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","2","2","2","3 (somewhat severe)"
"2019/12/03 7:31:30 PM CET","English","English","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 7:31:41 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","2","2","2","2"
"2019/12/03 7:32:19 PM CET","Other","English","5 (severe)","5 (severe)","3 (somewhat severe)","2","2","4","4","4"
"2019/12/03 7:33:14 PM CET","English","","3 (somewhat severe)","4","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 7:36:37 PM CET","English","","3 (somewhat severe)","3 (somewhat severe)","4","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 7:38:33 PM CET","English","Other","3 (somewhat severe)","4","2","5 (severe)","2","3 (somewhat severe)","4","4"
"2019/12/03 7:39:03 PM CET","Italian","English","1 (not severe)","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 7:39:04 PM CET","English","","4","4","2","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 7:39:27 PM CET","Other","English","4","5 (severe)","3 (somewhat severe)","4","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 7:39:54 PM CET","English","Other","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 7:41:55 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 7:42:16 PM CET","English","Other","5 (severe)","5 (severe)","5 (severe)","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)"
"2019/12/03 7:43:52 PM CET","English","Other","3 (somewhat severe)","5 (severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","4","3 (somewhat severe)"
"2019/12/03 7:44:10 PM CET","English","Other","4","5 (severe)","2","2","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 7:44:13 PM CET","English","Other","5 (severe)","4","1 (not severe)","4","2","3 (somewhat severe)","3 (somewhat severe)","5 (severe)"
"2019/12/03 7:44:48 PM CET","Italian","","4","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 7:46:49 PM CET","English","English","5 (severe)","4","2","4","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 7:47:00 PM CET","English","English","4","5 (severe)","5 (severe)","2","2","3 (somewhat severe)","4","1 (not severe)"
"2019/12/03 7:47:36 PM CET","English","Italian","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","4","2"
"2019/12/03 7:47:53 PM CET","English","Other","4","4","2","2","2","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 7:48:07 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 7:48:16 PM CET","English","English","3 (somewhat severe)","5 (severe)","2","3 (somewhat severe)","1 (not severe)","4","1 (not severe)","2"
"2019/12/03 7:49:14 PM CET","English","","3 (somewhat severe)","4","2","3 (somewhat severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 7:50:43 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 7:51:27 PM CET","English","English","5 (severe)","5 (severe)","2","4","3 (somewhat severe)","3 (somewhat severe)","4",""
"2019/12/03 7:52:08 PM CET","English","Other","4","5 (severe)","2","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","4"
"2019/12/03 7:53:24 PM CET","English","Italian","1 (not severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 7:53:45 PM CET","English","Other","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","4","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 7:54:59 PM CET","English","","4","2","2","4","2","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 7:57:22 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 7:57:34 PM CET","English","Other","5 (severe)","4","4","2","1 (not severe)","2","4","3 (somewhat severe)"
"2019/12/03 7:57:37 PM CET","Other","English","3 (somewhat severe)","5 (severe)","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 7:57:58 PM CET","English","","4","5 (severe)","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","5 (severe)","3 (somewhat severe)"
"2019/12/03 7:58:06 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","2","2"
"2019/12/03 7:58:27 PM CET","English","Other","4","3 (somewhat severe)","2","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 7:58:48 PM CET","English","Other","4","3 (somewhat severe)","4","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 7:59:15 PM CET","English","Other","2","5 (severe)","2","3 (somewhat severe)","1 (not severe)","4","1 (not severe)","1 (not severe)"
"2019/12/03 8:01:14 PM CET","English","Other","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 8:01:26 PM CET","English","Other","3 (somewhat severe)","4","2","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","2"
"2019/12/03 8:02:12 PM CET","English","English","3 (somewhat severe)","4","2","1 (not severe)","2","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 8:04:32 PM CET","Other","English","2","3 (somewhat severe)","5 (severe)","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 8:05:23 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","2","1 (not severe)","2","1 (not severe)","2"
"2019/12/03 8:05:51 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 8:07:11 PM CET","English","","4","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 8:08:38 PM CET","English","","5 (severe)","4","1 (not severe)","3 (somewhat severe)","2","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 8:08:51 PM CET","English","English","4","4","4","4","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 8:09:08 PM CET","English","Other","2","5 (severe)","3 (somewhat severe)","2","3 (somewhat severe)","5 (severe)","2","4"
"2019/12/03 8:09:45 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","2","2","1 (not severe)","2","2"
"2019/12/03 8:10:35 PM CET","English","Other","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 8:11:13 PM CET","English","","3 (somewhat severe)","4","2","2","1 (not severe)","2","2","2"
"2019/12/03 8:11:21 PM CET","Italian","English","5 (severe)","3 (somewhat severe)","4","1 (not severe)","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 8:11:55 PM CET","English","","3 (somewhat severe)","2","2","2","1 (not severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 8:13:08 PM CET","English","Other","2","2","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","2"
"2019/12/03 8:17:44 PM CET","English","English","2","2","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 8:18:39 PM CET","English","","4","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 8:19:41 PM CET","English","","4","5 (severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","5 (severe)","4","1 (not severe)"
"2019/12/03 8:20:26 PM CET","English","","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 8:21:31 PM CET","Italian","English","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","4","4"
"2019/12/03 8:22:50 PM CET","English","Other","2","3 (somewhat severe)","2","1 (not severe)","2","1 (not severe)","2","1 (not severe)"
"2019/12/03 8:23:27 PM CET","English","","4","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","2"
"2019/12/03 8:23:51 PM CET","English","","4","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 8:24:51 PM CET","English","","4","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)"
"2019/12/03 8:26:32 PM CET","English","","3 (somewhat severe)","4","3 (somewhat severe)","2","5 (severe)","4","3 (somewhat severe)","1 (not severe)"
"2019/12/03 8:26:34 PM CET","English","Other","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","2"
"2019/12/03 8:27:58 PM CET","Other","English","4","5 (severe)","3 (somewhat severe)","2","2","4","3 (somewhat severe)","2"
"2019/12/03 8:27:59 PM CET","English","Other","4","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 8:29:09 PM CET","English","Other","3 (somewhat severe)","4","2","2","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 8:30:07 PM CET","English","English","2","4","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)"
"2019/12/03 8:31:06 PM CET","English","","4","4","2","3 (somewhat severe)","2","3 (somewhat severe)","2","5 (severe)"
"2019/12/03 8:31:32 PM CET","English","Other","3 (somewhat severe)","5 (severe)","5 (severe)","2","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)"
"2019/12/03 8:31:49 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","2","2","3 (somewhat severe)"
"2019/12/03 8:33:34 PM CET","Other","English","5 (severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 8:34:28 PM CET","English","","2","3 (somewhat severe)","3 (somewhat severe)","2","2","1 (not severe)","1 (not severe)","2"
"2019/12/03 8:36:05 PM CET","English","Other","4","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 8:37:06 PM CET","English","Other","3 (somewhat severe)","5 (severe)","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 8:37:48 PM CET","English","","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","2","2"
"2019/12/03 8:38:14 PM CET","English","Other","4","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 8:39:21 PM CET","English","English","4","3 (somewhat severe)","3 (somewhat severe)","2","2","3 (somewhat severe)","1 (not severe)","2"
"2019/12/03 8:40:25 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","5 (severe)","1 (not severe)","1 (not severe)","2","1 (not severe)"
"2019/12/03 8:40:39 PM CET","English","English","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","4","1 (not severe)","2","4","4"
"2019/12/03 8:41:38 PM CET","English","Other","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","2","4"
"2019/12/03 8:42:04 PM CET","Other","English","4","5 (severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 8:42:05 PM CET","English","Other","4","5 (severe)","3 (somewhat severe)","2","1 (not severe)","2","2","2"
"2019/12/03 8:43:09 PM CET","English","English","5 (severe)","4","4","3 (somewhat severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 8:43:30 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 8:45:38 PM CET","English","","3 (somewhat severe)","3 (somewhat severe)","2","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","4"
"2019/12/03 8:45:45 PM CET","English","English","4","3 (somewhat severe)","2","2","3 (somewhat severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 8:45:49 PM CET","English","English","5 (severe)","2","4","2","2","3 (somewhat severe)","2","2"
"2019/12/03 8:46:45 PM CET","English","English","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","2","1 (not severe)"
"2019/12/03 8:47:11 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 8:47:36 PM CET","Other","English","3 (somewhat severe)","5 (severe)","2","5 (severe)","1 (not severe)","3 (somewhat severe)","5 (severe)","1 (not severe)"
"2019/12/03 8:47:49 PM CET","English","Other","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 8:48:03 PM CET","English","Other","5 (severe)","2","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)"
"2019/12/03 8:48:24 PM CET","English","Other","4","4","1 (not severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2"
"2019/12/03 8:49:19 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","2","2","2","2"
"2019/12/03 8:50:03 PM CET","English","English","3 (somewhat severe)","4","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 8:50:21 PM CET","English","Other","2","2","2","2","2","4","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 8:51:11 PM CET","English","Italian","4","4","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 8:52:24 PM CET","Italian","English","3 (somewhat severe)","4","5 (severe)","2","2","3 (somewhat severe)","4","4"
"2019/12/03 8:52:45 PM CET","English","","3 (somewhat severe)","4","2","1 (not severe)","1 (not severe)","2","3 (somewhat severe)","2"
"2019/12/03 8:53:09 PM CET","English","English","3 (somewhat severe)","5 (severe)","2","4","2","1 (not severe)","2","3 (somewhat severe)"
"2019/12/03 8:54:15 PM CET","English","Other","3 (somewhat severe)","2","3 (somewhat severe)","2","1 (not severe)","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 8:54:32 PM CET","English","Other","4","5 (severe)","2","3 (somewhat severe)","2","1 (not severe)","2","1 (not severe)"
"2019/12/03 8:55:29 PM CET","English","Other","3 (somewhat severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","4","1 (not severe)","1 (not severe)"
"2019/12/03 8:57:15 PM CET","English","Other","3 (somewhat severe)","5 (severe)","1 (not severe)","1 (not severe)","1 (not severe)","4","3 (somewhat severe)","1 (not severe)"
"2019/12/03 8:59:28 PM CET","English","Other","3 (somewhat severe)","4","2","2","2","1 (not severe)","1 (not severe)","2"
"2019/12/03 8:59:35 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","4","2","3 (somewhat severe)"
"2019/12/03 9:00:01 PM CET","English","English","2","3 (somewhat severe)","1 (not severe)","2","2","3 (somewhat severe)","1 (not severe)","1 (not severe)"
"2019/12/03 9:00:11 PM CET","English","Other","3 (somewhat severe)","5 (severe)","3 (somewhat severe)","4","5 (severe)","5 (severe)","3 (somewhat severe)","4"
"2019/12/03 9:00:27 PM CET","English","Other","2","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","2","2","2"
"2019/12/03 9:04:05 PM CET","English","Other","3 (somewhat severe)","2","3 (somewhat severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","4"
"2019/12/03 9:04:14 PM CET","English","Other","5 (severe)","5 (severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","3 (somewhat severe)","1 (not severe)"
"2019/12/03 9:05:33 PM CET","English","Other","3 (somewhat severe)","4","1 (not severe)","2","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 9:06:40 PM CET","English","","3 (somewhat severe)","4","3 (somewhat severe)","2","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 9:07:31 PM CET","English","Other","2","4","3 (somewhat severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","2","4"
"2019/12/03 9:07:44 PM CET","English","Other","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 9:08:53 PM CET","English","Other","2","2","1 (not severe)","2","1 (not severe)","1 (not severe)","2","2"
"2019/12/03 9:10:29 PM CET","English","Other","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","2"
"2019/12/03 9:11:29 PM CET","English","Italian","4","3 (somewhat severe)","4","2","3 (somewhat severe)","2","2","2"
"2019/12/03 9:14:40 PM CET","Other","Italian","4","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)","1 (not severe)"
"2019/12/03 9:15:42 PM CET","English","","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)","2","2","3 (somewhat severe)"
"2019/12/03 9:17:45 PM CET","English","English","5 (severe)","3 (somewhat severe)","1 (not severe)","3 (somewhat severe)","2","2","2","3 (somewhat severe)"
"2019/12/03 9:19:36 PM CET","English","Other","4","4","2","2","1 (not severe)","3 (somewhat severe)","2","2"
"2019/12/03 9:20:20 PM CET","English","","5 (severe)","5 (severe)","1 (not severe)","2","1 (not severe)","3 (somewhat severe)","2","4"
"2019/12/03 9:21:36 PM CET","English","Other","3 (somewhat severe)","3 (somewhat severe)","2","1 (not severe)","1 (not severe)","3 (somewhat severe)","3 (somewhat severe)","2"
"2019/12/03 9:24:27 PM CET","English","","2","3 (somewhat severe)","4","3 (somewhat severe)","1 (not severe)","4","3 (somewhat severe)","5 (severe)"
"2019/12/03 9:25:50 PM CET","English","Other","3 (somewhat severe)","4","2","2","1 (not severe)","2","3 (somewhat severe)","3 (somewhat severe)"
"2019/12/03 9:28:02 PM CET","English","","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","1 (not severe)","2","2","2"
"2019/12/03 9:29:22 PM CET","English","Other","3 (somewhat severe)","4","2","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 9:30:28 PM CET","English","Other","4","5 (severe)","4","3 (somewhat severe)","1 (not severe)","2","1 (not severe)","1 (not severe)"
"2019/12/03 9:30:42 PM CET","English","Other","5 (severe)","5 (severe)","3 (somewhat severe)","3 (somewhat severe)","2","3 (somewhat severe)","2","2"
"2019/12/03 9:30:48 PM CET","English","English","2","5 (severe)","2","1 (not severe)","4","2","2","3 (somewhat severe)"
"2019/12/03 9:31:00 PM CET","English","Italian","3 (somewhat severe)","4","1 (not severe)","3 (somewhat severe)","1 (not severe)","2","2","1 (not severe)"
"2019/12/03 9:31:35 PM CET","English","Other","2","4","3 (somewhat severe)","1 (not severe)","1 (not severe)","1 (not severe)","1 (not severe)","3 (somewhat severe)"
